rank,city,state,population,main_keyword,main_keyword_volume,cluster_volume,cpc,competition_providers,demand_score,market_score,commercial_intent_score,competition_score,cluster_score,ranking_chance_score,total_score,priority,volume_source,notes
1,Berlin,Berlin,3662000,entrümpelung berlin,1650,5280,5.80,1043,35.0,15.0,17.0,0.0,9.0,1.5,77.5,A,SCHÄTZUNG (Bevölkerungs-Proxy),"Höchstes Volumen DE; massiver Wettbewerb (1043 Anbieter raeumungsfinder.de); Bezirksseiten bereits vorhanden"
2,Hamburg,Hamburg,1853000,entrümpelung hamburg,833,2665,5.20,153,30.0,12.9,17.0,4.1,8.0,2.5,74.5,A,SCHÄTZUNG (Bevölkerungs-Proxy),"Zweitgrößte Stadt; relativ günstiger Wettbewerb vs. Berlin"
3,München,Bayern,1558000,entrümpelung münchen,700,2241,6.00,229,28.8,12.4,17.0,3.3,9.0,2.5,73.0,A,SCHÄTZUNG (Bevölkerungs-Proxy),"Bayern-Metropole; hohes Preisniveau (+25%); starkes Clustergebiet"
4,Köln,Nordrhein-Westfalen,1084000,entrümpelung köln,488,1561,4.80,96,26.1,11.2,17.0,5.1,9.0,2.5,70.9,A,SCHÄTZUNG (Bevölkerungs-Proxy),"Rheinland-Metropole; Köln-Bonn-Cluster sehr lukrativ"
5,Frankfurt am Main,Hessen,773000,entrümpelung frankfurt,347,1111,5.50,89,23.7,10.2,17.0,5.3,8.0,2.5,66.7,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Finanzmetropole; hohes Preisniveau; Frankfurt-Rhein-Main-Cluster"
6,Düsseldorf,Nordrhein-Westfalen,621000,entrümpelung düsseldorf,279,893,5.00,74,22.1,9.5,17.0,5.7,9.0,2.5,65.8,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet/Rhein-Cluster; 74 Anbieter"
7,Dortmund,Nordrhein-Westfalen,588000,entrümpelung dortmund,265,847,4.50,77,21.7,9.3,17.0,5.6,9.0,2.5,65.1,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet-Kern; 77 Anbieter"
8,Essen,Nordrhein-Westfalen,579000,entrümpelung essen,261,834,4.50,60,21.5,9.2,17.0,6.2,9.0,2.5,65.4,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; 60 Anbieter; gut für Cluster-Strategie"
9,Duisburg,Nordrhein-Westfalen,498000,entrümpelung duisburg,224,717,4.20,65,20.5,8.8,17.0,6.0,9.0,3.0,64.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ruhrgebiet; geschätzte 65 Anbieter"
10,Stuttgart,Baden-Württemberg,635000,entrümpelung stuttgart,286,914,5.20,77,22.2,9.5,17.0,5.6,7.0,3.0,64.3,B,SCHÄTZUNG (Bevölkerungs-Proxy),"BW-Hauptstadt; 77 Anbieter; gutes Cluster (Ludwigsburg, Esslingen)"
11,Leipzig,Sachsen,620000,entrümpelung leipzig,279,892,3.80,70,22.0,9.4,17.0,5.8,6.0,3.5,63.7,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Ostdeutsche Wachstumsmetropole; geschätzte 70 Anbieter; CPC niedriger"
12,Dresden,Sachsen,559000,entrümpelung dresden,252,805,3.80,50,21.3,9.1,17.0,6.6,5.0,3.5,62.5,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Sachsen-Hauptstadt; niedrigere Wettbewerbsdichte als Westdeutschland"
13,Nürnberg,Bayern,520000,entrümpelung nürnberg,234,749,4.80,68,20.8,8.9,17.0,5.9,7.0,3.0,62.6,B,SCHÄTZUNG (Bevölkerungs-Proxy),"Franken-Metropole; Fürth/Erlangen im Cluster"
